 Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
208.48,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.0,766,787,801,784,313.75,97.5,92.5,98.75,3.53,6.3,5.52,5.81
208.5,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.0,766,787,800,784,316.88,98.75,86.25,93.12,3.53,6.3,5.6,5.85
208.52,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.6,800.0,766,787,800,784,316.88,98.75,86.25,84.38,3.53,6.3,5.6,5.9
208.53,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.5,800.0,766,787,800,784,319.38,95.0,76.25,84.38,3.53,6.3,5.68,5.9
208.55,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.0,766,787,800,784,320.0,88.75,68.12,75.62,3.56,6.28,5.75,5.91
208.57,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.0,766,787,800,784,320.0,80.62,58.12,66.25,3.56,6.28,5.84,5.94
208.58,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.0,766,786,800,784,319.38,69.38,50.62,58.12,3.57,6.26,5.91,5.97
208.6,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.0,766,786,800,784,316.88,58.12,40.0,48.12,3.57,6.26,5.96,6.0
208.62,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.0,766,786,800,784,316.88,58.12,40.0,40.0,3.57,6.26,5.96,6.03
208.63,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.5,800.0,766,786,800,784,315.62,48.75,32.5,40.0,3.57,6.25,5.99,6.03
208.65,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.5,800.0,766,786,800,784,312.5,39.38,24.38,32.5,3.6,6.25,6.03,6.04
208.67,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.5,800.0,766,786,800,784,310.0,33.75,19.38,27.5,3.63,6.24,6.1,6.1
208.68,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.0,766,786,800,784,306.25,31.88,17.5,25.62,3.66,6.21,6.18,6.18
208.7,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.5,800.1,766,787,800,784,303.75,30.62,18.12,26.25,3.67,6.19,6.26,6.25
208.72,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.5,800.1,766,787,801,784,303.75,30.62,18.12,24.38,3.67,6.19,6.26,6.31
208.73,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.2,799.4,800.1,766,787,801,784,302.5,30.0,16.88,24.38,3.67,6.18,6.29,6.31
208.75,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.5,800.1,766,787,801,785,298.75,30.0,17.5,26.25,3.66,6.15,6.28,6.3
208.77,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.4,800.1,766,787,801,785,297.5,31.88,19.38,26.25,3.63,6.15,6.24,6.25
208.78,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.4,800.1,766,787,801,785,296.88,33.75,20.0,27.5,3.59,6.15,6.18,6.16
208.8,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.4,800.1,766,787,801,785,296.25,38.12,27.5,33.75,3.56,6.14,6.14,6.05
208.82,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.4,800.1,766,787,801,785,296.25,38.12,27.5,38.12,3.56,6.15,6.12,5.94
208.83,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.4,800.1,766,787,801,785,296.25,42.5,30.0,38.12,3.51,6.15,6.05,5.94
208.85,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.3,799.3,800.0,766,787,801,785,295.62,44.38,35.62,41.88,3.51,6.15,6.02,5.88
208.87,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.0,766,786,802,785,296.25,51.25,49.38,55.0,3.53,6.15,6.03,5.88
208.88,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.0,766,786,802,785,297.5,58.12,51.88,58.75,3.56,6.14,6.08,5.91
208.9,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.0,766,786,802,785,299.38,64.38,63.75,69.38,3.57,6.14,6.16,5.99
